Date,Open,High,Low,Close
09/04/2020,6756.131348,6854.477539,6607.078613,6683.558594
10/04/2020,6685.138184,6685.138184,6213.720703,6277.594238
11/04/2020,6279.374512,6333.564941,6209.063477,6272.309082
12/04/2020,6271.380859,6502.384277,6228.410645,6377.300781
13/04/2020,6372.29248,6372.29248,6111.880371,6267.405273
14/04/2020,6265.797852,6342.717773,6223.812988,6229.04541
15/04/2020,6231.897949,6313.766113,6083.400879,6091.080566
16/04/2020,6089.562012,6570.778809,6018.864258,6554.135254
17/04/2020,6449.332,6449.332,6449.332,6449.332
18/04/2020,6522.546387,6685.015625,6519.746582,6673.713379
19/04/2020,6676.708984,6694.730957,6590.393555,6616.665039
20/04/2020,6614.316895,6662.609375,6296.366699,6334.223633
21/04/2020,6332.222168,6397.977051,6308.224609,6337.51416
22/04/2020,6336.700684,6609.26123,6326.291504,6585.737305
23/04/2020,6589.529785,6947.139648,6568.143555,6895.334473
24/04/2020,6899.470703,6998.852539,6899.470703,6977.327148
25/04/2020,6976.940918,7061.93457,6950.318848,6994.916016
26/04/2020,6995.103516,7116.673828,6987.035645,7097.449219
27/04/2020,7097.034668,7201.93457,7097.034668,7201.93457
28/04/2020,7203.200195,7215.637207,7139.678223,7206.9375
29/04/2020,7206.618164,8159.059082,7176.479492,8091.744629
30/04/2020,8088.648438,8689.920898,7796.776367,7911.762695
01/05/2020,7924.763184,8241.464844,7920.177246,7990.958008
02/05/2020,7994.825684,8118.61084,7942.107422,8101.853027
03/05/2020,8097.362793,8263.361328,7959.77832,8119.242676
04/05/2020,8117.669434,8215.239258,7906.004395,8173.670898
05/05/2020,8173.833496,8307.134766,8174.762695,8307.331055
06/05/2020,8311.364258,8716.582031,8270.378906,8582.734375
07/05/2020,8576.375977,9224.347656,8460.981445,9183.599609
08/05/2020,9169.428711,9215.408203,9013.821289,8973.578125
09/05/2020,8971.973633,9036.842773,8733.102539,8745.182617
10/05/2020,8742.696289,8746.716797,7652.442871,8078.630859
11/05/2020,8077.804688,8345.572266,7748.861328,7958.571289
12/05/2020,7966.518555,8247.331055,7927.349121,8117.508301
